代码	名称(37)	涨幅%	涨停数	主力净额	现价	涨跌	涨速%	量比	涨跌数	跌停数	3日涨幅%	总金额	开盘金额	换手%	换手Z	量涨速%	短换手%	2分钟金额	主力净比%	开盘换手Z	连涨天	昨涨幅%	5日涨幅%	10日涨幅%	20日涨幅%	60日涨幅%	一年涨幅%	月初至今%	年初至今%	强弱度%	总量	市盈率	市净率	振幅%	昨收	今开	最高	最低	均价	开盘%	回头波%	攻击波%	现均差%	流通市值	AB股总市值	流通股本Z	
880675	减速器	-4.73	3	-549826.66	1755.87	-87.12	-0.03	  1.24	12,90	3	-0.50	6899989.71	101218.97	          7.04	         13.02	          0.93	          1.17	77922.71	  -0.56	          0.10	-1	2.54	2.99	2.16	10.27	32.58	67.49	10.51	43.03	 -3.43	48381936	   113.86	          3.41	3.63	1842.99	1822.80	1822.80	1755.87	1755.87	-1.10	-3.67	0.00	0.00	       9803.91亿	      11288.26亿	  371.55亿	
880703	人形机器人	-4.56	1	-1247580.16	1868.05	-89.29	0.00	  1.04	8,141	2	-5.11	13253076.58	115806.90	          4.81	          7.93	          1.18	          1.52	190384.54	  -0.42	          0.04	-3	-0.39	-3.10	-4.29	-1.35	36.59	68.84	3.61	43.33	 -3.27	61319604	    64.07	          3.57	3.85	1957.34	1938.33	1940.86	1865.59	1868.05	-0.97	-3.75	0.13	0.00	      29444.41亿	      34475.25亿	  773.47亿	
880566	AI眼镜	-3.90	0	-737910.99	1775.02	-71.99	0.02	  1.23	7,107	1	-4.89	6896576.92	55200.45	          4.03	          5.79	          1.09	          0.94	92055.96	  -0.39	          0.03	-3	-0.21	-3.71	-4.49	-5.33	10.09	77.50	-0.26	10.95	 -2.60	40119920	    60.04	          3.20	2.99	1847.01	1828.33	1828.33	1773.19	1775.02	-1.01	-2.92	0.10	0.00	      19037.12亿	      21668.17亿	  692.71亿	
880390	汽车类	-3.58	4	-862681.50	2603.33	-96.55	0.04	  1.10	19,264	6	-2.28	12390249.27	155772.20	          3.63	          6.79	          1.11	          0.80	168282.52	  -0.22	          0.04	-1	0.84	-1.06	-0.40	-0.29	8.23	25.60	2.80	10.05	 -2.28	78026528	    35.19	          2.45	3.35	2699.88	2685.47	2685.54	2595.04	2601.29	-0.53	-3.06	0.32	0.08	      38390.47亿	      44104.05亿	 1149.12亿	
880789	昨成交20	-3.02	0	-690577.00	525.15	-16.35	-0.01	  1.05	5,15	1	-4.41	9627856.90	114357.93	          5.01	          6.44	          1.90	          3.02	223719.42	  -0.12	          0.02	-3	-1.17	-4.77	-7.25	-17.78	-18.96	-26.27	-9.34	-13.73	 -1.73	37543856	    19.10	          2.97	3.30	541.50	534.07	542.94	525.07	525.15	-1.37	-3.28	0.02	0.00	      56081.98亿	      60784.21亿	  583.31亿	
880904	机器人概念	-2.99	15	-2178151.63	4317.79	-133.20	0.01	  1.08	106,748	7	-3.46	43396405.66	431001.40	          3.97	          6.56	          1.14	          0.95	602655.95	  -0.19	          0.04	-3	-0.10	-1.86	-1.90	0.61	16.47	41.77	4.41	22.93	 -1.70	257327296	    39.68	          2.89	2.56	4450.99	4420.75	4422.24	4308.31	4317.80	-0.68	-2.36	0.22	-0.00	     113798.96亿	     132194.39亿	 3920.39亿	
880747	AI医疗概念	-2.98	0	-382332.01	1102.56	-33.82	0.01	  0.95	6,64	1	-4.36	3437871.10	29228.40	          3.72	          5.63	          1.09	          0.84	46188.34	  -0.34	          0.03	-3	-0.96	-4.78	-2.73	-5.03	10.26	10.26	2.47	10.26	 -1.68	20828176	    48.53	          3.24	2.96	1136.38	1131.73	1134.36	1100.77	1102.56	-0.41	-2.80	0.16	0.00	      11343.63亿	      12216.98亿	  369.78亿	
880658	高压快充	-2.94	0	-199350.27	1216.79	-36.89	0.00	  1.01	7,75	2	-4.51	3378873.96	36094.81	          4.48	          6.64	          1.10	          0.90	45121.13	  -0.26	          0.05	-3	-0.64	-1.51	0.70	0.94	11.01	35.01	3.32	13.71	 -1.65	23102860	    42.34	          2.43	2.47	1253.68	1244.00	1244.41	1213.41	1216.80	-0.77	-2.22	0.28	-0.00	       7571.88亿	       8467.62亿	  348.03亿	
880689	华为算力	-2.88	2	-618038.68	1346.01	-39.88	0.01	  1.01	9,75	0	-5.21	6904397.00	84195.24	          5.54	          7.47	          1.20	          1.70	100775.53	  -0.51	          0.07	-3	-0.79	-4.03	-5.75	-7.35	13.59	31.88	-0.07	22.30	 -1.58	33665248	   152.84	          3.75	2.44	1385.89	1375.36	1376.86	1343.11	1346.01	-0.76	-2.24	0.22	0.00	      12118.24亿	      13656.73亿	  450.93亿	
880328	黄金	-2.80	0	-53311.65	1490.06	-43.00	0.09	  0.74	1,9	0	-2.27	650512.18	4069.08	          2.06	          3.56	          0.95	          0.44	7693.00	  -0.17	          0.01	-2	-0.78	2.39	7.19	8.76	14.42	17.88	13.53	19.42	 -1.51	3628153	    30.82	          3.11	3.31	1533.06	1530.97	1534.18	1483.43	1501.38	-0.14	-2.88	0.45	-0.74	       3223.11亿	       3374.22亿	  101.99亿	
880732	AI智能体	-2.75	1	-1229638.45	1204.76	-34.12	0.02	  1.01	22,157	2	-4.64	13736835.48	136742.31	          5.95	          8.31	          1.24	          1.49	207534.49	  -0.47	          0.05	-3	-0.48	-4.28	-5.11	-3.77	20.48	20.48	5.25	20.48	 -1.46	84222528	    74.43	          3.61	2.28	1238.88	1228.99	1231.71	1203.52	1204.76	-0.80	-2.19	0.10	0.00	      26154.63亿	      29712.08亿	 1013.37亿	
880921	阿里概念	-2.67	2	-1295599.21	1580.56	-43.33	0.00	  0.95	29,232	2	-4.75	16868791.09	154640.56	          4.06	          6.46	          1.62	          1.36	332619.78	  -0.33	          0.04	-3	-0.73	-4.42	-3.84	-4.01	11.40	38.86	2.36	17.72	 -1.37	100882296	    55.69	          3.06	2.30	1623.89	1613.10	1615.67	1578.34	1580.56	-0.66	-2.17	0.14	0.00	      39816.11亿	      44161.13亿	 1561.59亿	
880992	TDX 信息	-2.65	6	-3882220.75	3757.86	-102.47	0.06	  1.02	100,943	5	-5.25	48182018.05	360465.28	          3.98	          5.73	          1.32	          1.22	779773.54	  -0.28	          0.03	-3	-0.99	-4.59	-4.96	-7.28	5.12	26.16	-0.82	7.97	 -1.36	259571040	    89.75	          3.92	2.62	3860.33	3840.49	3849.33	3748.22	3750.79	-0.51	-2.38	0.26	0.18	     139027.67亿	     164372.94亿	 4527.53亿	
880677	活跃可转债	-2.62	0	4690.76	542.70	-14.62	-0.06	  0.73	8,58	0	-4.40	3349714.33	6354.35	--  	--  	          0.43	          0.00	15670.68	--  	--  	-3	-0.69	-4.12	-3.52	-3.60	1.94	-19.53	1.12	5.18	 -1.33	17838660	--  	--  	2.77	557.32	556.43	557.66	542.24	542.70	-0.16	-2.68	0.08	0.00	--  	--  	--  	
880951	新能源车	-2.61	7	-1800658.94	1443.38	-38.65	0.03	  1.10	88,629	8	-2.89	32887724.44	327958.71	          3.76	          6.29	          1.15	          0.80	463526.30	  -0.17	          0.03	-3	-0.20	-2.15	-1.35	-2.30	5.74	25.21	1.32	7.86	 -1.31	221379744	    37.05	          2.62	2.53	1482.03	1475.29	1477.66	1440.22	1438.91	-0.45	-2.32	0.22	0.30	     103586.67亿	     118268.94亿	 3519.12亿	
880742	固态电池	-2.52	0	-619977.73	845.87	-21.89	0.02	  0.99	18,167	1	-4.98	7125430.27	45581.27	          2.39	          4.09	          1.30	          0.64	113967.92	  -0.16	          0.01	-3	-1.06	-3.63	-2.43	1.67	6.80	28.11	-0.98	12.99	 -1.23	43053228	    39.81	          2.14	2.56	867.76	863.62	865.80	843.59	845.87	-0.48	-2.30	0.27	0.00	      37923.67亿	      41893.51亿	 1052.91亿	
880948	人工智能	-2.48	13	-1928472.99	1636.29	-41.60	0.01	  1.01	90,605	5	-4.00	34648627.61	278187.93	          3.85	          5.90	          1.46	          1.06	619308.65	  -0.21	          0.03	-3	-0.58	-3.26	-2.78	-2.41	9.76	33.97	3.48	18.17	 -1.19	228124752	    67.70	          3.34	2.22	1677.89	1668.02	1669.22	1632.02	1636.29	-0.59	-1.97	0.26	0.00	      91762.74亿	     106297.40亿	 3867.47亿	
880865	近期新高	-2.43	14	-983315.25	1366.51	-34.00	0.02	  1.25	77,247	10	-2.25	21761235.35	378933.38	          5.42	          9.73	          1.24	          1.30	329234.84	  -0.21	          0.08	-2	-0.39	-1.96	-1.55	-5.60	-5.93	2.78	1.91	-3.39	 -1.13	140127968	    16.56	          1.39	2.32	1400.51	1392.47	1396.34	1363.85	1370.08	-0.57	-2.14	0.20	-0.25	      47553.43亿	      53932.10亿	 1440.87亿	
880720	抖音概念	-2.42	1	-845443.28	1049.33	-26.05	0.01	  0.91	24,180	4	-4.78	10843815.94	94275.60	          4.94	          7.01	          1.36	          1.15	178179.28	  -0.40	          0.04	-3	-0.92	-4.43	-3.48	-4.80	2.90	32.51	1.07	11.69	 -1.13	78822520	   176.49	          3.16	2.25	1075.38	1068.01	1070.36	1046.15	1049.33	-0.69	-1.96	0.30	0.00	      21071.12亿	      25505.42亿	 1124.93亿	
880799	数据中心	-2.30	3	-1827465.63	1499.86	-35.31	0.01	  0.99	79,355	4	-4.65	28163103.13	233991.04	          3.33	          6.06	          1.56	          1.00	535956.68	  -0.25	          0.03	-3	-0.83	-3.46	-1.45	-1.00	16.32	35.69	3.54	19.37	 -1.01	181997536	    33.16	          1.85	2.19	1535.17	1524.44	1529.52	1495.91	1499.86	-0.70	-1.94	0.26	0.00	      73204.91亿	      80991.34亿	 3005.48亿	
880978	DeepSeek概念	-2.26	4	-1950887.12	1482.56	-34.31	0.01	  1.09	84,508	1	-4.00	32881374.00	267296.97	          2.78	          5.10	          1.35	          0.71	543476.94	  -0.19	          0.03	-3	-0.67	-3.45	-3.42	-4.23	48.26	48.26	3.08	48.26	 -0.97	214819248	    35.03	          1.91	2.17	1516.87	1509.65	1511.86	1478.91	1482.56	-0.48	-1.94	0.25	0.00	     101084.76亿	     117441.61亿	 4215.28亿	
880324	有色	-2.24	0	-400696.73	983.76	-22.55	0.06	  0.88	17,117	2	-2.33	6040976.18	40844.23	          2.08	          3.45	          1.21	          0.39	89302.22	  -0.15	          0.02	-2	-0.22	-1.79	1.73	6.37	8.00	11.67	8.80	12.45	 -0.95	48519304	    22.53	          2.09	2.58	1006.31	1001.69	1006.13	980.21	985.80	-0.46	-2.22	0.36	-0.20	      26756.58亿	      28449.89亿	 1404.78亿	
880669	算力租赁	-1.99	2	-994355.20	1257.85	-25.59	0.00	  1.04	31,125	2	-4.29	14795115.72	136023.83	          4.00	          8.15	          1.56	          1.22	280616.96	  -0.30	          0.04	-3	-0.57	-3.03	-1.60	-1.61	20.95	36.46	4.23	25.72	 -0.70	93643632	    76.93	          3.06	1.67	1283.44	1272.28	1277.36	1255.87	1257.85	-0.87	-1.53	0.16	0.00	      33384.82亿	      35728.36亿	 1149.25亿	
880842	业绩预升	-1.98	3	-1128538.52	7655.51	-154.76	0.05	  1.00	55,432	2	-3.11	18307953.46	129321.18	          2.23	          4.28	          1.24	          0.55	277582.64	  -0.14	          0.02	-3	-0.77	-2.00	-0.38	-1.39	14.68	21.96	2.39	10.22	 -0.69	115178008	    20.05	          2.17	2.30	7810.27	7778.49	7809.64	7629.66	7640.80	-0.41	-1.97	0.34	0.19	      82676.12亿	      89833.84亿	 2688.64亿	
880712	微小盘股	-1.41	7	-92893.75	1213.34	-17.35	0.00	  1.06	108,483	4	-1.33	5966256.13	72306.60	          4.16	          6.52	          1.05	          0.50	76593.56	  -0.07	          0.05	-1	0.35	-0.14	3.00	5.27	21.33	21.33	6.45	21.33	 -0.12	65061348	--  	          2.10	1.72	1230.69	1228.79	1229.21	1208.10	1213.27	-0.15	-1.29	0.43	0.01	      13646.60亿	      16585.72亿	  997.33亿	
880983	TDX 消费	-1.35	2	-291793.72	3793.08	-51.85	0.04	  0.93	61,312	5	-2.87	6783406.08	60180.54	          2.26	          4.01	          3.20	          0.96	262525.34	  -0.04	          0.01	-4	-1.34	-3.17	1.86	4.35	-1.89	-4.09	2.85	0.67	 -0.05	61862624	    23.23	          3.42	2.06	3844.93	3833.81	3861.92	3782.74	3792.48	-0.29	-1.78	0.27	0.02	      66278.60亿	      71200.56亿	 1542.13亿	
880507	国防军工	-1.29	11	-794417.97	1662.30	-21.75	0.00	  1.32	116,315	1	-1.59	20899228.88	216510.41	          4.74	          7.65	          0.94	          0.73	238655.90	  -0.17	          0.05	-1	0.52	-1.28	-0.30	1.60	5.15	22.85	5.46	8.35	  0.00	159501856	   106.16	          2.93	2.15	1684.05	1675.95	1693.52	1657.31	1664.06	-0.48	-1.84	0.30	-0.10	      48097.48亿	      55768.26亿	 2085.72亿	
880990	TDX 金融	-1.29	1	-623183.67	2629.77	-34.27	-0.08	  0.91	8,114	0	-1.42	7563012.51	35002.67	          0.43	          1.36	          3.77	          0.20	342959.72	  -0.04	          0.00	-2	-0.93	-1.43	0.13	-0.66	0.16	31.27	0.68	-1.36	  0.01	75928688	     7.98	          0.54	1.67	2664.04	2658.99	2669.81	2625.45	2628.96	-0.19	-1.50	0.16	0.03	     149040.95亿	     152927.34亿	 5568.27亿	
880372	食品饮料	-1.24	0	-75776.38	2508.30	-31.42	-0.21	  0.79	16,105	0	-2.38	1969628.16	20810.92	          2.26	          4.19	          3.83	          1.13	90629.53	  -0.05	          0.01	-5	-0.59	-3.05	0.78	2.85	-5.81	5.07	0.47	-3.27	  0.06	18198296	    27.84	          2.96	1.39	2539.72	2531.71	2537.67	2502.47	2501.33	-0.32	-1.16	0.23	0.27	      13877.48亿	      16176.60亿	  434.01亿	
880471	银行	-1.19	0	-118846.16	3010.25	-36.26	-0.13	  0.96	3,38	0	-0.49	2427488.05	8235.64	          0.24	          0.89	          5.74	          0.12	164320.67	  -0.01	          0.00	-2	-0.52	-0.12	0.54	0.43	4.66	34.47	0.93	0.96	  0.10	31426000	     6.42	          0.41	1.50	3046.51	3041.89	3052.30	3006.64	3021.39	-0.15	-1.38	0.12	-0.37	      93839.95亿	      94968.83亿	 3523.91亿	
