代码	名称(50)	涨幅%	涨停数	主力净额	现价	涨跌	涨速%	量比	总金额	涨跌数	跌停数	3日涨幅%	开盘金额	换手%	换手Z	量涨速%	短换手%	2分钟金额	主力净比%	开盘换手Z	连涨天	昨涨幅%	5日涨幅%	10日涨幅%	20日涨幅%	60日涨幅%	一年涨幅%	月初至今%	年初至今%	强弱度%	总量	市盈率	市净率	振幅%	昨收	今开	最高	最低	均价	开盘%	回头波%	攻击波%	现均差%	流通市值	AB股总市值	流通股本Z	
880812	昨日连板	4.89	6	-82422.43	19264.03	898.94	0.13	  1.03	1579462.35	8|3	0	7.84	98973.77	         23.59	         37.58	          0.64	          1.62	12499.56	  -1.38	          1.66	1	-1.73	13.53	28.80	69.64	401.82	42638.44	68.81	532.59	  4.87	18572354	    56.28	          2.18	4.20	18365.09	19716.00	19716.00	18944.13	19264.02	7.36	-2.29	1.69	0.00	        596.56亿	        692.59亿	   49.42亿	
880695	PEEK材料	4.02	2	-5163.26	1335.98	51.61	0.01	  1.76	1456900.92	23|3	0	9.05	23051.32	          4.48	          7.10	          0.98	          1.52	17545.22	  -0.02	          0.09	4	4.39	12.57	16.55	0.26	10.63	68.04	5.46	18.74	  3.99	5289882	    57.58	          3.48	5.15	1284.37	1286.67	1347.47	1281.31	1335.99	0.18	-0.85	4.27	-0.00	       2437.43亿	       2703.46亿	   74.52亿	
880865	近期新高	1.74	21	-73257.78	1250.16	21.35	0.00	  1.39	9273072.03	91|56	2	2.38	254669.90	          0.78	          3.61	          0.92	          0.10	104034.30	  -0.01	          0.03	1	-0.96	1.99	1.36	-7.37	-7.92	-8.62	-2.43	-11.62	  1.71	80389264	     8.05	          0.48	1.95	1228.81	1228.33	1252.26	1228.33	1251.17	-0.04	-0.17	1.78	-0.08	      76320.31亿	      78727.20亿	 2226.79亿	
880707	宠物经济	1.72	3	31353.86	1112.36	18.76	0.03	  1.25	2093842.23	49|26	0	1.24	15150.66	          4.73	          8.22	          1.07	          0.85	27443.20	   0.04	          0.02	1	-0.44	2.32	4.35	4.06	10.75	11.24	5.88	13.70	  1.69	15572264	    28.26	          2.76	3.01	1093.60	1091.88	1121.23	1088.34	1112.36	-0.16	-0.79	2.21	0.00	       8082.79亿	       9078.39亿	  189.55亿	
880863	昨日涨停	1.61	19	-308571.55	4184.98	66.51	0.03	  0.82	5984061.85	38|33	2	2.98	219319.42	         13.09	         21.66	          0.71	          1.30	52043.78	  -0.70	          0.50	1	-0.84	5.18	14.02	44.75	226.30	11321.63	44.93	318.50	  1.59	53657672	    45.52	          2.74	1.26	4118.47	4223.17	4223.17	4171.23	4184.98	2.54	-0.90	0.33	0.00	       4393.59亿	       4918.13亿	  247.68亿	
880471	银行	1.49	0	-52398.80	3144.71	46.14	0.00	  0.99	2112904.19	41|0	0	2.16	8789.85	          0.22	          0.85	          1.05	          0.02	27672.99	  -0.01	          0.00	1	-0.47	1.86	6.22	3.99	7.75	32.48	3.42	5.47	  1.46	29763152	     6.50	          0.41	1.88	3098.57	3098.01	3156.29	3098.01	3134.47	-0.02	-0.37	1.51	0.33	      95601.91亿	      96527.55亿	 3503.28亿	
880305	电力	0.94	6	122666.75	2138.40	19.93	-0.03	  1.29	2873859.48	67|8	0	0.56	17242.35	          1.25	          3.15	          1.00	          0.10	35014.45	   0.05	          0.01	1	-0.41	0.52	1.68	2.01	4.59	4.21	2.93	-1.75	  0.91	46312584	    17.11	          1.45	1.44	2118.47	2115.39	2145.43	2114.99	2165.87	-0.15	-0.33	1.11	-1.30	      27156.86亿	      28565.38亿	 1471.57亿	
880360	农林牧渔	0.81	1	5009.10	1692.49	13.54	0.04	  1.01	1897822.41	40|48	0	0.06	10175.92	          2.61	          3.97	          1.09	          0.29	24914.94	   0.01	          0.01	1	-1.48	-0.67	-4.54	3.36	8.11	4.75	6.05	4.74	  0.78	23224764	    21.91	          2.42	1.99	1678.95	1675.38	1708.75	1675.38	1683.94	-0.21	-0.95	1.02	0.51	       8883.04亿	      10552.18亿	  584.33亿	
880372	食品饮料	0.74	2	29619.71	2682.94	19.68	0.00	  0.90	2893841.61	70|49	0	0.02	43342.15	          3.25	          6.02	          1.07	          0.48	37620.53	   0.02	          0.03	1	-1.15	-1.48	1.27	6.33	7.42	16.09	6.33	3.46	  0.71	26234168	    30.58	          3.07	1.08	2663.26	2658.44	2684.78	2656.07	2678.87	-0.18	-0.07	1.01	0.15	      14736.45亿	      17071.98亿	  435.96亿	
880400	医药	0.66	9	80468.99	1932.87	12.69	0.03	  1.23	5536700.42	192|95	2	0.92	59150.54	          2.11	          3.36	          0.90	          0.31	60653.98	   0.02	          0.02	1	-0.84	2.17	3.02	1.29	5.08	5.77	0.10	2.40	  0.63	42446636	    44.74	          2.54	1.51	1920.18	1920.27	1949.19	1920.15	1936.68	0.00	-0.84	0.66	-0.20	      33622.23亿	      37659.17亿	 1264.87亿	
880652	创新药	0.62	2	33242.83	915.86	5.63	0.02	  1.15	3990265.04	119|61	2	0.54	25372.66	          1.82	          2.98	          0.81	          0.30	39159.81	   0.01	          0.01	1	-1.01	2.56	4.26	1.57	9.09	15.53	0.48	5.78	  0.59	24590776	    52.64	          2.43	1.80	910.23	909.71	925.49	909.13	915.86	-0.06	-1.04	0.74	0.00	      25900.63亿	      29115.74亿	  826.01亿	
880845	高股息股	0.40	2	-117594.73	4623.37	18.40	0.00	  1.17	4001784.63	107|84	0	0.46	25972.45	          0.41	          1.11	          0.92	          0.05	45429.56	  -0.01	          0.00	1	-0.26	0.10	2.31	0.52	2.92	18.57	0.68	-0.81	  0.37	38541264	     8.52	          0.77	0.75	4604.97	4602.44	4637.16	4602.44	4610.64	-0.05	-0.30	0.45	0.28	      92487.88亿	      95068.92亿	 3462.66亿	
