代码	名称	涨幅%	封单额	涨速%	总金额	振幅%	现价	涨跌	买价	卖价	总量	现量	换手%	今开	最高	最低	昨收	市盈(动)	量比	细分行业	地区	均价	内盘	外盘	内外比	溢价%	买量	卖量	未匹配量	委比%	量涨速%	短换手%	2分钟金额	主力净额	主力净比%	昨成交额	开盘金额	开盘抢筹%	开盘昨比%	开盘昨封比%	开盘换手Z	竞价涨停买	竞价昨比	封成比	流通市值	AB股总市值	流通股(亿)	
920178	N锐翔	490.4	--  	0.57	204845.77	108.58	173.99	144.52	173.90	173.99	116072	717	         79.45	165.00	197.00	165.00	29.47	    87.79	0.00	专用机械	广东	176.48	64203	51869	  1.24	0.00	3	26	--  	-88.63	          0.50	          0.50	1247.01	0.00	   0.00	0.00	18982.82	0.00	--  	--  	          7.87	--  	--  	--  	         25.42亿	        114.73亿	          0.15	
001393	N维通利	297.2	--  	0.02	471271.06	98.75	120.67	90.29	120.66	120.67	362463	4066	         75.45	120.00	150.00	120.00	30.38	   153.04	0.00	电气设备	北京	130.02	167993	194470	  0.86	0.00	127	364	--  	-25.40	          0.92	          0.87	4906.44	154001.97	  26.57	0.00	28930.32	0.00	--  	--  	          5.02	--  	--  	--  	         57.97亿	        300.87亿	          0.48	
688549	中巨芯-U	20.01	16543.19	0.00	119628.05	3.50	16.79	2.80	16.79	--  	714944	697	         12.13	16.32	16.79	16.30	13.99	   972.44	  0.98	元器件	浙江	16.73	597064	117880	  5.07	0.00	98530	0	--  	0.00	          0.08	          0.01	116.97	36639.68	   4.28	137577.03	8588.78	2.00	6.24	--  	          1.03	6600.00	19.24	0.14	         98.95亿	        248.03亿	          5.89	
301696	三瑞智能	20.00	7165.09	0.00	144838.66	21.58	139.48	23.25	139.48	--  	112835	120	         37.51	116.35	139.48	114.40	116.23	   107.06	  0.97	电气设备	江西	128.36	61860	50975	  1.21	0.00	5137	0	--  	0.00	          0.08	          0.04	167.37	30566.75	   7.28	97268.03	551.50	1.72	0.57	--  	          0.16	--  	0.79	0.05	         41.96亿	        557.93亿	          0.30	
688697	纽威数控	20.00	1139.36	0.00	76325.43	20.05	24.18	4.03	24.18	--  	333183	613	          7.29	20.14	24.18	20.14	20.15	    41.48	  2.25	机床制造	江苏	22.91	185422	147761	  1.25	0.00	4712	0	--  	0.00	          0.15	          0.03	148.19	14280.49	   3.29	20308.23	38.67	0.00	0.19	--  	          0.01	--  	0.54	0.01	        110.58亿	        110.58亿	          4.57	
300263	隆华科技	20.00	797.06	0.00	313988.34	11.70	13.74	2.29	13.74	--  	2345683	3495	         24.05	12.50	13.74	12.40	11.45	    55.12	  5.00	专用机械	河南	13.39	1184069	1161614	  1.02	0.00	5801	0	--  	0.00	          0.12	          0.04	480.23	41069.67	   3.57	76296.10	3810.88	2.63	4.99	--  	          0.36	400.00	11.14	0.00	        134.04亿	        142.21亿	          9.76	
300878	维康药业	19.99	483.63	0.00	42155.78	22.07	36.20	6.03	36.20	--  	123369	392	          8.56	29.54	36.20	29.54	30.17	   751.69	  3.31	中成药	浙江	34.17	60453	62916	  0.96	0.00	1336	0	--  	0.00	          0.27	          0.11	141.90	3154.10	   2.17	9456.77	22.75	-2.08	0.24	--  	          0.02	--  	0.14	0.01	         52.17亿	         52.41亿	          1.44	
300721	怡达股份	19.98	5354.97	0.00	87379.77	10.38	29.36	4.89	29.36	--  	301445	242	         21.79	26.82	29.36	26.82	24.47	   280.76	  1.20	化工原料	江苏	28.99	178641	122804	  1.45	0.00	18239	0	--  	0.00	          0.08	          0.03	71.05	17521.39	   6.31	97615.14	3300.28	4.77	3.38	--  	          1.30	800.00	13.70	0.06	         40.62亿	         48.40亿	          1.38	
301081	严牌股份	19.98	6709.96	0.00	35044.86	18.50	20.30	3.38	20.30	--  	186312	145	          8.53	17.54	20.30	17.17	16.92	   390.94	  2.37	环境保护	浙江	18.81	82868	103444	  0.80	0.00	33054	0	--  	0.00	          0.07	          0.02	29.43	1663.23	   0.85	14309.95	144.18	3.24	1.01	--  	          0.09	--  	2.70	0.18	         44.36亿	         46.23亿	          2.19	
300276	三丰智能	19.94	10487.78	0.00	94411.19	19.66	8.42	1.40	8.42	--  	1176975	7923	         11.13	7.05	8.42	7.04	7.02	  -239.51	  3.61	专用机械	湖北	8.02	705486	471489	  1.50	0.00	124558	0	--  	0.00	          0.57	          0.09	667.12	47281.13	   6.32	19718.01	40.26	0.43	0.20	--  	          0.01	--  	0.93	0.11	         89.01亿	        117.97亿	         10.57	
688820	盛合晶微	18.76	--  	-0.14	949792.13	22.61	183.84	29.04	183.81	183.84	565213	3568	         32.69	158.04	185.00	150.00	154.80	   447.47	  1.17	半导体	江苏	168.04	247976	317237	  0.78	0.00	2	3	--  	51.22	          0.50	          0.21	6559.44	-42664.65	  -1.34	738135.25	4944.09	0.00	0.67	--  	          0.18	500.00	0.53	--  	        317.86亿	       3424.52亿	          1.73	
688143	长盈通	18.12	--  	0.53	340558.72	17.38	108.20	16.60	108.20	108.25	319657	3463	         26.12	94.00	109.92	94.00	91.60	   590.56	  2.06	通信设备	湖北	106.54	151778	167879	  0.90	0.00	625	27	--  	83.27	          0.87	          0.37	3746.43	-4611.17	  -0.45	200639.11	6171.52	1.08	3.08	--  	          0.69	1000.00	8.82	--  	        132.41亿	        139.34亿	          1.22	
920100	三协电机	17.02	--  	0.01	52220.04	30.81	66.91	9.73	66.91	66.97	80195	446	         40.98	56.70	73.50	55.88	57.18	    76.29	  3.41	电气设备	江苏	65.12	32140	48055	  0.67	0.00	5	41	--  	-8.74	          0.45	          0.23	298.47	0.00	   0.00	13457.95	92.57	0.00	0.69	--  	          0.08	--  	3.89	--  	         13.09亿	         49.39亿	          0.20	
688507	索辰科技	15.70	--  	0.00	106301.65	20.24	107.52	14.59	107.51	107.52	101002	794	         20.51	92.71	111.52	92.71	92.93	   -70.57	  5.43	软件服务	上海	105.25	43944	57058	  0.77	0.00	48	45	--  	26.17	          0.63	          0.16	853.53	7524.04	   1.42	21009.16	42.16	0.00	0.20	--  	          0.01	--  	1.01	--  	         52.94亿	         95.81亿	          0.49	
688535	华海诚科	15.49	--  	0.31	245305.02	18.56	133.77	17.94	133.77	133.80	193422	629	         16.21	122.34	139.00	117.50	115.83	   350.99	  1.82	半导体	江苏	126.82	89912	103510	  0.87	0.00	7	3	--  	-47.50	          0.26	          0.08	841.27	10994.57	   1.06	188546.02	3111.14	0.00	1.65	--  	          0.33	600.00	2.18	--  	        159.58亿	        189.91亿	          1.19	
688017	绿的谐波	15.28	--  	0.02	584581.50	20.00	305.50	40.50	305.50	305.51	201244	995	         10.98	265.50	315.00	262.00	265.00	   429.06	  1.54	机械基件	江苏	290.48	89221	112023	  0.80	0.00	25	5	--  	85.15	          0.40	          0.08	3040.87	27872.85	   0.76	330269.91	1778.40	0.18	0.54	--  	          0.06	--  	1.07	--  	        560.07亿	        560.07亿	          1.83	
688700	东威科技	14.89	--  	0.01	255538.23	19.84	77.00	9.98	77.00	77.01	343056	1294	         11.50	67.99	80.42	67.12	67.02	   129.62	  2.21	专用机械	江苏	74.49	143666	199390	  0.72	0.00	257	2	--  	79.28	          0.30	          0.07	996.20	-24214.80	  -1.59	101693.82	396.88	0.00	0.39	--  	          0.03	--  	0.77	--  	        229.77亿	        229.77亿	          2.98	
688409	富创精密	14.25	--  	0.01	193872.63	18.65	162.27	20.24	162.25	162.27	125781	513	          4.11	144.28	168.00	141.51	142.03	   214.38	  1.30	半导体	辽宁	154.14	58598	67183	  0.87	0.00	60	0	--  	0.00	          0.32	          0.03	831.83	-612.64	  -0.02	152564.42	751.05	0.00	0.49	--  	          0.03	--  	1.38	--  	        496.89亿	        496.89亿	          3.06	
