代码	名称	涨幅%	封单额	涨速%	总金额	量比	换手%	振幅%	现价	买价	卖价	涨跌	总量	现量	今开	最高	最低	昨收	市盈(动)	细分行业	地区	均价	内盘	外盘	内外比	买量	卖量	未匹配量	开盘金额	开盘换手Z	封成比	流通股(亿)	流通市值	AB股总市值	强弱度%	活跃度	笔均量	笔换手	连涨天	昨涨幅%	3日涨幅%	20日涨幅%	60日涨幅%	年初至今%	年涨停天	换手Z	流通市值Z	流通比例Z%	市盈(TTM)	
113595	花王转债	27.73	--  	-1.74	421055.33	 37.12	       1108.66	25.93	121.94	120.90	121.00	26.47	3656640	87	109.00	127.76	103.00	95.47	--  	深证		115.15	1728047	1928593	  0.90	6	698	--  	--  	--  	--  	          0.03	          4.02亿	--  	 25.32	   3318	   1102	        0.3341	2	0.37	26.98	21.94	15.98	13.74	0	--  	--  	--  	--  	
123138	丝路转债	24.19	--  	0.00	543777.64	  6.81	       1468.38	27.44	165.000	164.873	165.000	32.142	3524122	17877	138.000	173.550	137.100	132.858	--  	上证		154.302	1647093	1877029	  0.88	1	1829	--  	--  	--  	--  	          0.02	          3.96亿	--  	 20.50	   3977	    886	        0.3692	1	-1.37	24.34	24.76	65.00	65.00	0	--  	--  	--  	--  	
123136	城市转债	19.60	--  	0.42	1170511.77	  3.79	       1151.83	23.01	238.000	237.990	238.000	39.000	5298432	25122	200.000	238.000	192.212	199.000	--  	上证		220.917	2593878	2704555	  0.96	5	420	--  	--  	--  	--  	          0.05	         10.95亿	--  	 15.91	   4744	   1117	        0.2428	3	22.09	75.34	93.54	138.00	138.00	0	--  	--  	--  	--  	
127007	湖广转债	18.75	--  	0.10	851006.98	  2.24	       1494.47	14.85	163.798	163.798	163.799	25.867	5532501	39282	145.050	163.970	143.486	137.931	--  	上证		153.820	2630717	2901784	  0.91	2680	524	--  	--  	--  	--  	          0.04	          6.06亿	--  	 15.06	   4744	   1166	        0.3150	1	-4.87	18.68	0.00	0.33	28.56	0	--  	--  	--  	--  	
113016	小康转债	10.54	--  	0.74	279655.55	  2.09	        538.94	13.68	255.97	256.40	256.50	24.40	1113778	23	241.40	269.99	238.31	231.57	--  	深证		251.09	538956	574822	  0.94	92	19	--  	--  	--  	--  	          0.02	          5.29亿	--  	  8.13	   4772	    233	        0.1129	1	-0.73	12.68	-3.35	-23.62	-33.25	0	--  	--  	--  	--  	
113025	明泰转债	10.09	--  	0.11	155799.74	  1.34	         46.05	17.60	345.40	345.10	345.32	31.66	467280	28	313.01	360.22	305.00	313.74	--  	深证		333.42	224579	242701	  0.93	26	2	--  	--  	--  	--  	          0.10	         35.05亿	--  	  7.69	   4677	    100	        0.0098	4	4.27	34.13	-12.13	-16.40	-22.98	0	--  	--  	--  	--  	
113537	文灿转债	9.52	--  	-0.04	303463.83	  1.09	       1022.57	16.85	216.89	217.42	217.50	18.86	1437175	50	199.69	229.69	196.32	198.03	--  	深证		211.15	705632	731543	  0.96	5	45	--  	--  	--  	--  	          0.01	          3.05亿	--  	  7.12	   4797	    300	        0.2132	1	-5.68	18.49	-2.64	-27.68	-35.31	0	--  	--  	--  	--  	
123134	卡倍转债	8.95	--  	-0.03	560710.09	  1.66	        811.22	11.31	235.880	235.880	235.884	19.380	2263304	6788	238.150	258.230	233.750	216.500	--  	上证		247.740	1095562	1167743	  0.94	22	37	--  	--  	--  	--  	          0.03	          6.58亿	--  	  5.26	   4744	    477	        0.1710	1	-1.81	8.29	54.98	78.18	135.88	0	--  	--  	--  	--  	
128033	迪龙转债	8.78	--  	-0.07	212920.79	188.96	        593.71	10.36	118.500	118.500	118.501	9.564	1765132	13563	114.440	125.724	114.439	108.936	--  	上证		120.626	911371	853762	  1.07	2133	246	--  	--  	--  	--  	          0.03	          3.52亿	--  	  5.09	   4718	    374	        0.1258	3	0.68	10.47	4.18	-6.29	-4.28	0	--  	--  	--  	--  	
123083	朗新转债	7.44	--  	-0.01	18474.16	  1.04	         22.28	11.21	154.970	154.970	154.980	10.729	122168	1340	145.801	159.200	143.031	144.241	--  	上证		151.219	61614	60554	  1.02	170	40	--  	--  	--  	--  	          0.05	          8.50亿	--  	  3.75	   2691	     45	        0.0083	3	0.87	15.83	-16.68	-36.85	-39.93	0	--  	--  	--  	--  	
127040	国泰转债	6.96	--  	0.33	73042.80	  6.19	         13.91	5.12	125.300	125.250	125.300	8.154	592092	2927	120.000	125.996	120.000	117.146	--  	上证		123.364	320303	271790	  1.18	10	78	--  	--  	--  	--  	          0.43	         53.35亿	--  	  3.27	   4540	    130	        0.0031	3	1.43	12.19	1.87	-7.95	-23.05	0	--  	--  	--  	--  	
113615	金诚转债	6.87	--  	-0.90	33411.11	  2.46	         22.58	12.96	171.96	171.95	172.00	11.05	195636	20	163.49	181.31	160.45	160.91	--  	深证		170.78	94707	100929	  0.94	52	7	--  	--  	--  	--  	          0.09	         14.90亿	--  	  4.46	   3567	     55	        0.0063	1	-5.46	4.94	-0.61	-14.16	-11.48	0	--  	--  	--  	--  	
128140	润建转债	6.86	--  	0.00	15470.50	  2.83	         10.72	9.25	135.578	135.250	135.578	8.702	116841	104	127.384	138.602	126.862	126.876	--  	上证		132.406	54404	62437	  0.87	2	8	--  	--  	--  	--  	          0.11	         14.77亿	--  	  3.17	   2541	     46	        0.0042	1	-1.31	10.53	0.28	-14.08	-17.08	0	--  	--  	--  	--  	
113582	火炬转债	6.65	--  	-0.35	89532.52	  2.41	        118.82	16.04	179.26	178.88	179.00	11.17	496349	28	168.50	193.30	166.33	168.09	--  	深证		180.38	245863	250486	  0.98	11	9	--  	--  	--  	--  	          0.04	          7.49亿	--  	  4.24	   4421	    112	        0.0269	3	3.45	17.25	-20.77	-46.44	-53.08	0	--  	--  	--  	--  	
128095	恩捷转债	6.48	--  	-0.23	83252.82	  1.69	         53.92	13.34	346.999	346.700	346.999	21.122	244787	484	329.000	359.850	316.380	325.877	--  	上证		340.103	120666	124121	  0.97	30	131	--  	--  	--  	--  	          0.05	         15.75亿	--  	  2.79	   4009	     61	        0.0135	3	4.78	22.60	-5.51	-26.08	-25.38	0	--  	--  	--  	--  	
123070	鹏辉转债	6.47	--  	0.05	342868.94	  2.24	        361.64	11.54	162.890	162.871	162.890	9.900	2153876	5724	152.000	167.960	150.302	152.990	--  	上证		159.187	1024472	1129404	  0.91	6	16	--  	--  	--  	--  	          0.06	          9.70亿	--  	  2.78	   4741	    454	        0.0763	1	-26.09	-13.59	-39.42	-32.58	-38.02	0	--  	--  	--  	--  	
123060	苏试转债	6.46	--  	-0.11	19371.71	  0.42	         40.58	8.54	159.690	159.633	159.690	9.690	125647	283	152.500	159.990	147.187	150.000	--  	上证		154.176	64071	61577	  1.04	95	29	--  	--  	--  	--  	          0.03	          4.94亿	--  	  2.77	   3201	     39	        0.0127	1	-1.77	10.77	-9.98	-12.26	-24.41	0	--  	--  	--  	--  	
113626	伯特转债	6.43	--  	-0.10	102802.21	  1.77	         66.31	14.35	172.56	172.50	172.58	10.42	597770	113	163.00	183.00	159.73	162.14	--  	深证		171.98	284571	313199	  0.91	28	2	--  	--  	--  	--  	          0.09	         15.56亿	--  	  4.02	   4526	    132	        0.0147	1	-0.42	17.46	-19.01	-27.85	-22.12	0	--  	--  	--  	--  	
110074	精达转债	6.00	--  	0.39	9910.89	  1.01	         14.47	7.11	138.57	138.31	138.59	7.84	73742	9	131.70	139.00	129.70	130.73	--  	深证		134.40	37370	36372	  1.03	5	13	--  	--  	--  	--  	          0.05	          7.06亿	--  	  3.59	   2543	     29	        0.0057	1	-1.06	8.94	-11.40	-35.24	-41.07	0	--  	--  	--  	--  	
128137	洁美转债	5.87	--  	0.00	6216.36	  4.53	          8.48	9.69	124.000	124.000	124.200	6.870	50834	226	117.129	127.500	116.146	117.130	--  	上证		122.288	23303	27532	  0.85	337	11	--  	--  	--  	--  	          0.06	          7.43亿	--  	  2.17	   1184	     43	        0.0072	4	0.45	7.84	0.73	-17.33	-22.10	0	--  	--  	--  	--  	
123022	长信转债	5.83	--  	0.08	54194.96	  6.35	        150.60	9.72	139.113	139.113	139.200	7.658	386032	702	135.341	144.880	132.108	131.455	--  	上证		140.390	190726	195307	  0.98	34	3	--  	--  	--  	--  	          0.03	          3.57亿	--  	  2.13	   3753	    103	        0.0401	1	-0.41	11.84	-12.78	-36.20	-44.47	0	--  	--  	--  	--  	
123098	一品转债	5.68	--  	-0.45	262815.82	  8.37	        476.83	18.49	130.200	130.200	130.500	7.000	2019962	8991	123.000	145.000	122.220	123.200	--  	上证		130.109	1016707	1003256	  1.01	291	78	--  	--  	--  	--  	          0.04	          5.52亿	--  	  1.99	   4675	    432	        0.1020	4	3.43	9.40	2.32	-7.00	-18.06	0	--  	--  	--  	--  	
113504	艾华转债	5.60	--  	-1.16	34091.34	  1.87	         51.65	9.59	143.01	143.00	143.18	7.59	239027	2	134.99	147.98	134.99	135.42	--  	深证		142.63	116867	122160	  0.96	132	2	--  	--  	--  	--  	          0.05	          6.62亿	--  	  3.20	   4098	     58	        0.0126	1	-1.25	13.22	3.58	-24.21	-32.90	0	--  	--  	--  	--  	
113545	金能转债	5.33	--  	-0.14	9654.21	  1.10	          8.22	5.72	121.67	121.32	121.52	6.16	81097	2	115.99	122.60	115.99	115.51	--  	深证		119.05	43097	38000	  1.13	2	1	--  	--  	--  	--  	          0.10	         12.00亿	--  	  2.93	   2468	     33	        0.0033	3	0.53	8.00	-8.22	-25.01	-31.73	0	--  	--  	--  	--  	
123023	迪森转债	5.33	--  	-0.07	13242.52	 16.94	         23.07	1.99	109.001	109.001	109.060	5.515	122123	239	107.190	109.170	107.110	103.486	--  	上证		108.436	60125	61998	  0.97	195	18	--  	--  	--  	--  	          0.05	          5.77亿	--  	  1.64	   2957	     41	        0.0078	1	-0.59	4.31	2.44	-4.05	-5.47	0	--  	--  	--  	--  	
113630	赛伍转债	5.23	--  	0.03	87463.60	  0.58	         96.64	10.40	128.66	128.69	128.70	6.40	676469	2	123.80	135.00	122.28	122.26	--  	深证		129.29	328529	347940	  0.94	1	38	--  	--  	--  	--  	          0.07	          9.01亿	--  	  2.83	   4524	    150	        0.0214	4	0.15	9.51	7.89	-2.18	-9.45	0	--  	--  	--  	--  	
123139	铂科转债	5.17	--  	0.52	70692.26	  0.92	        126.05	6.61	131.990	131.990	131.997	6.490	542023	2970	126.999	133.745	125.444	125.500	--  	上证		130.423	262909	279115	  0.94	24	1	--  	--  	--  	--  	          0.04	          5.68亿	--  	  1.48	   4278	    127	        0.0295	1	-4.56	8.10	31.99	31.99	31.99	0	--  	--  	--  	--  	
